 2.6000e-01  3.8278e-11  7.7443e-01  4.3382e-02  1.0276e-09  2.8286e-11  3.9882e-11  7.1607e-01  6.4576e-01  4.3555e-11  4.4656e-05  4.4656e-05  1.8000e+00 
 2.7000e-01  5.0064e-11  7.7443e-01  4.3382e-02  1.3436e-09  3.6643e-11  5.1673e-11  7.1607e-01  6.3976e-01  5.7535e-11  4.4166e-05  4.4166e-05  1.8000e+00 
 2.8000e-01  6.5472e-11  7.7443e-01  4.3382e-02  1.7565e-09  4.7459e-11  6.7091e-11  7.1607e-01  6.3375e-01  7.6160e-11  4.3672e-05  4.3672e-05  1.8000e+00 
 2.9000e-01  8.5614e-11  7.7443e-01  4.3382e-02  2.2959e-09  6.1455e-11  8.7246e-11  7.1607e-01  6.2772e-01  1.0098e-10  4.3174e-05  4.3174e-05  1.8000e+00 
 3.0000e-01  1.1194e-10  7.7443e-01  4.3382e-02  3.0003e-09  7.9561e-11  1.1359e-10  7.1607e-01  6.2168e-01  1.3403e-10  4.2673e-05  4.2673e-05  1.8000e+00 
 3.1000e-01  1.4634e-10  7.7443e-01  4.3382e-02  3.9200e-09  1.0298e-10  1.4801e-10  7.1607e-01  6.1562e-01  1.7806e-10  4.2167e-05  4.2167e-05  1.8000e+00 
 3.2000e-01  1.9127e-10  7.7443e-01  4.3383e-02  5.1204e-09  1.3325e-10  1.9298e-10  7.1607e-01  6.0954e-01  2.3671e-10  4.1658e-05  4.1658e-05  1.8000e+00 
 3.3000e-01  2.4996e-10  7.7443e-01  4.3383e-02  6.6865e-09  1.7237e-10  2.5172e-10  7.1607e-01  6.0345e-01  3.1480e-10  4.1145e-05  4.1145e-05  1.8000e+00 
 3.4000e-01  3.2659e-10  7.7443e-01  4.3384e-02  8.7289e-09  2.2291e-10  3.2840e-10  7.1607e-01  5.9734e-01  4.1875e-10  4.0629e-05  4.0629e-05  1.8000e+00 
 3.5000e-01  4.2660e-10  7.7443e-01  4.3384e-02  1.1391e-08  2.8818e-10  4.2850e-10  7.1607e-01  5.9121e-01  5.5711e-10  4.0109e-05  4.0109e-05  1.8000e+00 
 3.6000e-01  5.5708e-10  7.7443e-01  4.3385e-02  1.4859e-08  3.7241e-10  5.5908e-10  7.1607e-01  5.8506e-01  7.4120e-10  3.9586e-05  3.9586e-05  1.8000e+00 
 3.7000e-01  7.2725e-10  7.7443e-01  4.3386e-02  1.9373e-08  4.8106e-10  7.2938e-10  7.1607e-01  5.7888e-01  9.8604e-10  3.9059e-05  3.9059e-05  1.8000e+00 
 3.8000e-01  9.4906e-10  7.7443e-01  4.3387e-02  2.5246e-08  6.2113e-10  9.5136e-10  7.1607e-01  5.7269e-01  1.3116e-09  3.8529e-05  3.8529e-05  1.8000e+00 
 3.9000e-01  1.2380e-09  7.7443e-01  4.3389e-02  3.2878e-08  8.0158e-10  1.2405e-09  7.1607e-01  5.6648e-01  1.7441e-09  3.7996e-05  3.7996e-05  1.8000e+00 
 4.0000e-01  1.6142e-09  7.7443e-01  4.3392e-02  4.2789e-08  1.0339e-09  1.6170e-09  7.1607e-01  5.6024e-01  2.3187e-09  3.7459e-05  3.7459e-05  1.8000e+00 
 4.1000e-01  2.1036e-09  7.7443e-01  4.3395e-02  5.5643e-08  1.3327e-09  2.1067e-09  7.1607e-01  5.5398e-01  3.0812e-09  3.6920e-05  3.6920e-05  1.7999e+00 
 4.2000e-01  2.7396e-09  7.7443e-01  4.3398e-02  7.2294e-08  1.7167e-09  2.7433e-09  7.1607e-01  5.4769e-01  4.0927e-09  3.6378e-05  3.6378e-05  1.7999e+00 
 4.3000e-01  3.5656e-09  7.7443e-01  4.3404e-02  9.3832e-08  2.2097e-09  3.5699e-09  7.1607e-01  5.4138e-01  5.4331e-09  3.5832e-05  3.5832e-05  1.7999e+00 
 4.4000e-01  4.6370e-09  7.7443e-01  4.3410e-02  1.2165e-07  2.8420e-09  4.6421e-09  7.1607e-01  5.3505e-01  7.2078e-09  3.5284e-05  3.5284e-05  1.7999e+00 
 4.5000e-01  6.0251e-09  7.7443e-01  4.3419e-02  1.5751e-07  3.6518e-09  6.0312e-09  7.1607e-01  5.2869e-01  9.5552e-09  3.4732e-05  3.4732e-05  1.7998e+00 
 4.6000e-01  7.8209e-09  7.7443e-01  4.3430e-02  2.0363e-07  4.6875e-09  7.8283e-09  7.1606e-01  5.2230e-01  1.2656e-08  3.4177e-05  3.4177e-05  1.7998e+00 
 4.7000e-01  1.0141e-08  7.7443e-01  4.3444e-02  2.6284e-07  6.0102e-09  1.0150e-08  7.1606e-01  5.1588e-01  1.6747e-08  3.3619e-05  3.3619e-05  1.7997e+00 
 4.8000e-01  1.3132e-08  7.7443e-01  4.3462e-02  3.3863e-07  7.6964e-09  1.3143e-08  7.1606e-01  5.0944e-01  2.2136e-08  3.3058e-05  3.3058e-05  1.7996e+00 
 4.9000e-01  1.6981e-08  7.7443e-01  4.3486e-02  4.3536e-07  9.8420e-09  1.6995e-08  7.1606e-01  5.0297e-01  2.9222e-08  3.2493e-05  3.2493e-05  1.7995e+00 
