 1.3000e-01  4.0282e-10  5.1517e-01  4.1865e-02  1.1487e-08  2.6159e-09  1.0379e-10  7.7530e-15 -4.9237e-16 -3.2833e-16 -6.9323e-15  2.4652e-15 -5.0042e-20 -1.9728e-15  1.6438e-15  9.1527e-21 -1.3155e-15 -6.6959e-16 -7.7839e-21 -7.0834e-15  4.8673e-20 -3.4394e-15  1.0372e-14  5.6286e-15  3.1253e-15 
 1.4000e-01  5.3569e-10  5.1517e-01  4.1865e-02  1.5267e-08  3.4530e-09  1.3802e-10  7.7151e-15 -5.2147e-16 -3.4773e-16 -6.8459e-15  2.6228e-15 -5.1533e-20 -2.1013e-15  1.7488e-15  1.1213e-20 -1.4011e-15 -7.0231e-16 -9.2067e-21 -7.0128e-15  4.9527e-20 -3.6693e-15  1.0515e-14  5.6286e-15  3.1253e-15 
 1.5000e-01  7.1227e-10  5.1517e-01  4.1866e-02  2.0284e-08  4.5565e-09  1.8349e-10  7.6784e-15 -5.5190e-16 -3.6802e-16 -6.7585e-15  2.7884e-15 -5.2973e-20 -2.2365e-15  1.8593e-15  1.3515e-20 -1.4913e-15 -7.3599e-16 -1.0769e-20 -6.9424e-15  5.0226e-20 -3.9118e-15  1.0670e-14  5.6286e-15  3.1253e-15 
 1.6000e-01  9.4683e-10  5.1517e-01  4.1867e-02  2.6942e-08  6.0104e-09  2.4389e-10  7.6429e-15 -5.8366e-16 -3.8920e-16 -6.6701e-15  2.9623e-15 -5.4348e-20 -2.3786e-15  1.9753e-15  1.6079e-20 -1.5861e-15 -7.7058e-16 -1.2479e-20 -6.8723e-15  5.0748e-20 -4.1670e-15  1.0837e-14  5.6286e-15  3.1253e-15 
 1.7000e-01  1.2583e-09  5.1517e-01  4.1868e-02  3.5773e-08  7.9250e-09  3.2409e-10  7.6086e-15 -6.1676e-16 -4.1127e-16 -6.5805e-15  3.1446e-15 -5.5645e-20 -2.5278e-15  2.0968e-15  1.8928e-20 -1.6855e-15 -8.0604e-16 -1.4349e-20 -6.8025e-15  5.1067e-20 -4.4353e-15  1.1016e-14  5.6286e-15  3.1253e-15 
 1.8000e-01  1.6718e-09  5.1517e-01  4.1869e-02  4.7476e-08  1.0444e-08  4.3054e-10  7.5753e-15 -6.5120e-16 -4.3424e-16 -6.4899e-15  3.3352e-15 -5.6850e-20 -2.6840e-15  2.2239e-15  2.2082e-20 -1.7897e-15 -8.4230e-16 -1.6387e-20 -6.7330e-15  5.1155e-20 -4.7169e-15  1.1207e-14  5.6286e-15  3.1253e-15 
 1.9000e-01  2.2205e-09  5.1517e-01  4.1871e-02  6.2978e-08  1.3758e-08  5.7177e-10  7.5432e-15 -6.8698e-16 -4.5809e-16 -6.3981e-15  3.5344e-15 -5.7947e-20 -2.8474e-15  2.3567e-15  2.5567e-20 -1.8986e-15 -8.7931e-16 -1.8605e-20 -6.6639e-15  5.0985e-20 -5.0118e-15  1.1410e-14  5.6286e-15  3.1253e-15 
 2.0000e-01  2.9481e-09  5.1517e-01  4.1873e-02  8.3494e-08  1.8111e-08  7.5902e-10  7.5121e-15 -7.2406e-16 -4.8282e-16 -6.3052e-15  3.7420e-15 -5.8921e-20 -3.0179e-15  2.4951e-15  2.9406e-20 -2.0123e-15 -9.1698e-16 -2.1013e-20 -6.5951e-15  5.0528e-20 -5.3202e-15  1.1625e-14  5.6286e-15  3.1253e-15 
 2.1000e-01  3.9124e-09  5.1517e-01  4.1877e-02  1.1062e-07  2.3825e-08  1.0071e-09  7.4821e-15 -7.6243e-16 -5.0841e-16 -6.2112e-15  3.9581e-15 -5.9754e-20 -3.1956e-15  2.6392e-15  3.3625e-20 -2.1308e-15 -9.5522e-16 -2.3622e-20 -6.5268e-15  4.9751e-20 -5.6420e-15  1.1853e-14  5.6286e-15  3.1253e-15 
 2.2000e-01  5.1895e-09  5.1517e-01  4.1881e-02  1.4646e-07  3.1318e-08  1.3357e-09  7.4530e-15 -8.0206e-16 -5.3483e-16 -6.1161e-15  4.1824e-15 -6.0431e-20 -3.3803e-15  2.7888e-15  3.8250e-20 -2.2540e-15 -9.9395e-16 -2.6442e-20 -6.4590e-15  4.8623e-20 -5.9773e-15  1.2093e-14  5.6286e-15  3.1253e-15 
 2.3000e-01  6.8796e-09  5.1517e-01  4.1887e-02  1.9374e-07  4.1132e-08  1.7704e-09  7.4249e-15 -8.4289e-16 -5.6206e-16 -6.0199e-15  4.4150e-15 -6.0932e-20 -3.5720e-15  2.9439e-15  4.3306e-20 -2.3818e-15 -1.0331e-15 -2.9485e-20 -6.3918e-15  4.7111e-20 -6.3258e-15  1.2346e-14  5.6286e-15  3.1253e-15 
