 2.8000e-01  6.5472e-11  7.7443e-01  4.3382e-02  1.7565e-09  4.7459e-11  6.7319e-11  7.6679e-01  5.7143e-01  8.1052e-11  1.0348e-03  1.8000e+00 
 2.9000e-01  8.5614e-11  7.7443e-01  4.3382e-02  2.2959e-09  6.1455e-11  8.7478e-11  7.6679e-01  5.6567e-01  1.0758e-10  1.0222e-03  1.8000e+00 
 3.0000e-01  1.1194e-10  7.7443e-01  4.3382e-02  3.0003e-09  7.9561e-11  1.1382e-10  7.6679e-01  5.5991e-01  1.4297e-10  1.0096e-03  1.8000e+00 
 3.1000e-01  1.4634e-10  7.7443e-01  4.3382e-02  3.9200e-09  1.0298e-10  1.4824e-10  7.6679e-01  5.5412e-01  1.9019e-10  9.9688e-04  1.8000e+00 
 3.2000e-01  1.9127e-10  7.7443e-01  4.3383e-02  5.1204e-09  1.3325e-10  1.9321e-10  7.6679e-01  5.4832e-01  2.5318e-10  9.8404e-04  1.8000e+00 
 3.3000e-01  2.4996e-10  7.7443e-01  4.3383e-02  6.6866e-09  1.7237e-10  2.5194e-10  7.6679e-01  5.4251e-01  3.3720e-10  9.7109e-04  1.8000e+00 
 3.4000e-01  3.2659e-10  7.7443e-01  4.3384e-02  8.7290e-09  2.2292e-10  3.2862e-10  7.6679e-01  5.3667e-01  4.4924e-10  9.5804e-04  1.8000e+00 
 3.5000e-01  4.2660e-10  7.7443e-01  4.3384e-02  1.1391e-08  2.8818e-10  4.2871e-10  7.6679e-01  5.3082e-01  5.9862e-10  9.4490e-04  1.8000e+00 
 3.6000e-01  5.5709e-10  7.7443e-01  4.3385e-02  1.4859e-08  3.7241e-10  5.5929e-10  7.6679e-01  5.2494e-01  7.9770e-10  9.3166e-04  1.8000e+00 
 3.7000e-01  7.2726e-10  7.7443e-01  4.3386e-02  1.9374e-08  4.8106e-10  7.2959e-10  7.6679e-01  5.1905e-01  1.0629e-09  9.1832e-04  1.8000e+00 
 3.8000e-01  9.4908e-10  7.7443e-01  4.3387e-02  2.5246e-08  6.2113e-10  9.5156e-10  7.6679e-01  5.1313e-01  1.4162e-09  9.0490e-04  1.8000e+00 
 3.9000e-01  1.2380e-09  7.7443e-01  4.3389e-02  3.2879e-08  8.0159e-10  1.2407e-09  7.6679e-01  5.0719e-01  1.8864e-09  8.9139e-04  1.8000e+00 
 4.0000e-01  1.6142e-09  7.7443e-01  4.3392e-02  4.2790e-08  1.0339e-09  1.6172e-09  7.6679e-01  5.0123e-01  2.5120e-09  8.7779e-04  1.8000e+00 
 4.1000e-01  2.1036e-09  7.7443e-01  4.3395e-02  5.5645e-08  1.3327e-09  2.1069e-09  7.6679e-01  4.9524e-01  3.3437e-09  8.6412e-04  1.8000e+00 
 4.2000e-01  2.7398e-09  7.7443e-01  4.3398e-02  7.2297e-08  1.7168e-09  2.7435e-09  7.6679e-01  4.8923e-01  4.4489e-09  8.5036e-04  1.8000e+00 
 4.3000e-01  3.5658e-09  7.7443e-01  4.3404e-02  9.3837e-08  2.2098e-09  3.5702e-09  7.6679e-01  4.8320e-01  5.9160e-09  8.3654e-04  1.8000e+00 
